category,item,spec,qty,unit_usd,ext_usd,sourcing,cad_model_source
motion,M0 fixed-end retention set,Ø8 clamp collar OD18x9 with Ø11.8 inner-race pilot + 8.1IDx12ODx1 shim + DIN472-16 ring,1,6.00,6.00,generic metric collar/shim/ring; verify collar pilot or turn from stock,all three components modeled separately; printed housing has Ø16.1 seat and Ø16.8x1.1 groove
motion,M1 spindle retention set,21.8ODx18.2IDx16 outer spacer + 17.8ODx8.05ID inner spacers 16 and 12 long + Ø8 collar 16ODx9 + 2 DIN472-22 rings,1,8.00,8.00,generic metric turned spacers/collar/rings,all six components modeled separately and located against the 608 races
motion,M2 flyer bearing retention set,27.8ODx20IDx11 outer spacer + 18ODx12.05ID inner spacers 11 and 4 long + 0.5 shim + DIN472-28 ring,1,8.00,8.00,generic metric turned spacers/shim/ring,all five components modeled separately; flyer block includes Ø28.1 seat shoulder and Ø29.4x1.3 groove
motion,30T 3GT motor pulley with conditional BNW machining,NBK P30-3GT-BLP-6C-5 stock split-clamp pulley; 5 mm bore; 6 mm belt; BNW adds two supplied set-screw holes at 90 degrees but exact delivered size location drawing quote and reversing retention proof remain open,1,50.00,50.00,CONDITIONAL RFQ_READY_FOR_SUPPLIER_RESPONSE_ONLY - send docs/rfq/m2_p30_d5_bnw_rfq_A.md revision M2-P30-D5-BNW-RFQ-A to NBK; preserve the existing 50 USD planning allowance only because it is not a quote; configured drawing complete part number set-screw details price and lead time are required before any order,immutable official stock STEP cad/models/upgrades/NBK_P30-3GT-BLP-6C-5_AP214.step SHA256 996449b7d9ec7703e7b38c6f75eff00a1174e3e1f088c05f0f1460b205169df9; M3x12 BNW witnesses are not delivered material; reversing coupon must reach the current 0.471456 N m 2x threshold
motion,3GT closed belt 210-3GT-6,210 mm pitch length x 6 mm wide for the frozen 30T:30T exact 1:1 drive; 1 installed + 1 spare,2,11.14,22.28,Gates Unitta Asia 210-3GT-6 through MISUMI US exact configured line at 11.14 USD each verified 2026-07-11 https://us.misumi-ec.com/vona2/detail/221004924969/?HissuCode=210-3GT-6,modeled exact pitch-line envelope in the integrated M2 successor; no obsolete 200-2GT artifact is release authority
motion,Ounuowei C8-ER11A-100L holder + MariTool ER11 metric set,Ø8 shank x 100 holder with exact 1-7 mm by 0.5 mm ER11 collet set,1,264.75,264.75,Ounuowei catalog RFQ for C8-ER11A-100L (18.00 planning allowance) plus current 246.75 MariTool ER11-13PIECE cart price; inspect received nut OD,verified parametric models/upgrades/er11_c8_hifi.step from Ounuowei catalog and DIN/REGO-FIX dimensions (er11.report.md)
motion,Custom Ø8 shaft socket holder,Ø8x100 shank + OD16x16 clamp body + ID8.10x14 socket + 2x M4x5 cup-point set screws; exact Ø8.00 shaft endpoint only,1,60.00,60.00,custom machine from project STEP/PDF; no supplier SKU claimed,out/custom/step/shaft8_socket_holder.step + output/pdf/shaft8_socket_holder.pdf
structure,2020 T-slot extrusion,cut set: 2x450 3x180 2x280 2x235 1x305 mm (2775 mm total),1,18.00,18.00,MISUMI HFS5-2020 configured lines: HFS5-2020-450 x2; -180 x3; -280 x2; -235 x2; -305 x1,parametric real B-type slot-6 profile
structure,Custom 6061-T6 stock-D10 flyer shaft,L79.00 shaft: full 18.50 mm OD9.991-10.000 h6 / ID6.000-6.030 round seat; 3.00 mm polished transition to ID9.000-9.050; OD11.980-12.000 main span; two arm flats only; R0.5 mouths; Rev D,1,18.00,18.00,custom machine RFQ planning allowance pending quote; stock-pulley fit controlled IDs and polished transition inspection required,out/custom/step/flyer_shaft_d10_id6_to_id9_l79.step generated by cad/custom_parts.py; output/pdf/flyer_shaft_d10_id6_to_id9_l79.pdf M2-001 Rev D
structure,0.250 inch MIC6 carriage plate,SendCutSend ALUMIC6-250 MIC6 cast aluminum plate; 0.250 inch / 6.35 mm; 148 x 87.5 mm flat fiber-laser-cut profile; quantity 1,1,,,UPLOAD_READY_UNPRICED; upload the release DXF with material SKU ALUMIC6-250 and no secondary services; current SendCutSend quote and checkout price are excluded from the planning subtotal,cad/fabricated_carriage.dxf is the cut authority; cad/fabricated_carriage.step is the thickness reference; out/reports/sendcutsend_carriage.json passes all 8 preflight checks for the assumed upload context
structure,MISUMI frame brackets,HBKTST5 5-series slot-6 brackets with audited screw/T-nut stacks,15,0.60,9.00,MISUMI HBKTST5 exact order line,all 15 brackets and their hardware are placed in the assembly audit
structure,35 mm machine-foot stack,Elesa 432001 OD20x17 M5x6 foot + Würth 970180581 M5 F/F AF8x18 standoff + ISO4026 M5x12 set screw; 4 stacks,4,10.00,40.00,exact Reiman Elesa line + Farnell 2884560 standoff + Accu SSF-M5-12-A2; planning allowance excludes international shipping,three separate modeled occurrences per corner plus shifted HNTA5-5; set screw projection 4.8 +/-0.1 preserves y=-260 support plane and 8.35 mm M1 motor clearance
structure,T-nut + fastener schedule,56 unique M2/M2.5/M3/M4/M5/M8 screw nut washer insert and T-nut SKUs after selecting the stock D10 split-clamp pulley,1,12.00,12.00,generated exact package schedule in out/order/hardware_order.csv; all eight previously unresolved lines now have exact cart-ready McMaster SKU and pack mappings; current pack prices and line-specific fulfillment remain unasserted and must be rechecked at checkout,the supplied NBK M2 clamp bolt belongs to the purchased pulley; obsolete flyer-side M3x6 set screws and BNW witnesses have purchase quantity zero
tensioner,Omron D2F-01L2-D3 home microswitch,SPDT hinge roller; 2x OD2.00 +0.12/0 mounting holes on 6.50 mm centers; solder terminals; 1 installed + 1 spare,2,2.87,5.74,DigiKey Z4701-ND exact active stocked order line https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/D2F-01L2-D3/5236578,manufacturer-dimensioned parametric model models/upgrades/omron_d2f_01l2_d3.step; mount and flag revised to controlled Omron interface
tensioner,Fixed ceramic eyelet,polished ID4 x OD9 x 3 mm entry guide; 1 installed + 1 spare,2,1.00,2.00,purchase blocked: Stanford Advanced Materials AC10042 proves only OD9 and KEIR offers custom polished guides; neither proves an exact order line https://www.samaterials.com/item/ac10042-alumina-ceramic-ring-aluminum-oxide-ring-al2o3-ring-99-dia-9-mm.html,one entry-guide annulus plus one fragile spare; the retired flyer-tip toroid is replaced by the one-piece PEEK guide/bell
tensioner,Dancer extension spring,Lee Spring LEM050AB 01 M; OD3.5 wire0.5 free9.5 initial1.77N rate2.35N/mm max12N,1,3.00,3.00,Lee Spring LEM050AB 01 M; exact official order line,selected geometry and equilibrium sweep in dancer_loads.json
tensioner,Dancer pivot hardware,McMaster 96654A127 OD5x10 shoulder/M4x5 thread + M4 washers + M4 nyloc,1,4.00,4.00,McMaster 96654A127 plus hardware order schedule,separate placed solids and fastener-stack audit
tensioner,Dancer pulley axle,McMaster 90265A420 OD3x16 shoulder/M2.5x4 thread + DIN988 shims + M2.5 nyloc,1,3.00,3.00,McMaster 90265A420 plus hardware order schedule,separate grooved pulley bearing shims and retention hardware modeled
tensioner,Felt compression spring,McMaster 94125K614 OD9.25 ID6.75 spring selected for calibrated 1-10N drag range,1,2.00,2.00,McMaster 94125K614 pack of 5,preload sweep and installed envelope audited in felt_loads.json
tensioner,Felt tensioner hardware,DIN976 M4x55 stud + OD20 backing discs + McMaster 91116A130 thrust washer + DIN315 M4 wingnut,1,3.00,3.00,exact hardware order schedule; stud cut from McMaster 90024A221,each stack component modeled and thread engagement audited
tensioner,Felt washers Ø20,wool felt wire-drag pads; 2 installed + 4 spares,6,0.25,1.50,locally cut from exact McMaster 8341K31 plain-back F5 95 percent wool felt sheet; 12x12x1/8 inch https://www.mcmaster.com/product/8341K31/,separate annular washer envelopes modeled; do not substitute adhesive-backed 8341K11
tensioner,Spool axle M8 x 75,shoulder bolt or ground shaft + thin thrust washers + locknut/collars,1,2.00,2.00,generic,axle bore modeled in spool_bracket
flyer,Counterweight hardware,4x McMaster 92125A126 / ISO10642 M3x6 rear screws + 4x 94459A130 M3 short inserts; 2x ISO4762 M2x8 front screws + 2x ISO7089 M2 washers + 2x 94459A120 standard M2 inserts,1,,,CART_READY_FOR_QUALIFICATION: all exact McMaster SKU and pack mappings are verified; current price and fulfillment are not asserted and must be rechecked at checkout; do not reuse the retired M3x12/three-washer stack,all six fastener stacks are modeled in positive printed material and bound by the integrated candidate; insert pull and hot endurance coupons remain open
flyer,One-piece PEEK flyer guide and exit bell,natural virgin unfilled PEEK one-solid guide; ID0.60 polished passage; integral root elbow and exit bell; 3x M2x6 retention,1,,,RFQ_READY_FOR_QUOTE_ONLY; hash-bound STEP/drawing/CSV and supplier-return questions are complete; ORDER AND PRODUCTION BLOCKED pending exact resin grade/lot DFM finish inspection quote insert pull abrasion dielectric varnish 60 N hot-load flexible-wire and hot-endurance results,out/custom/successor/step/flyer_peek_guide_bell.step + output/pdf/successor_custom_parts_rfq.pdf + out/custom/successor/successor_rfq.csv; obsolete ceramic toroid and PTFE elbow are not release parts
wire_path,Short-leadin PEEK stator caps,matched front + rear natural virgin unfilled PEEK caps from one lot; 24 open short lead-ins per end and one shared 3x M2x20 through-fastener set,2,,,RFQ_READY_FOR_QUOTE_ONLY; hash-bound paired STEP/drawing/CSV and supplier-return questions are complete; ORDER AND PRODUCTION BLOCKED pending exact resin grade/lot DFM finish inspection quote paired fit abrasion dielectric hot-varnish and launch-matrix results,out/custom/successor/step/stator_short_leadin_cap_front.step and _rear.step + output/pdf/successor_custom_parts_rfq.pdf + out/custom/successor/successor_rfq.csv
wire_path,Active-sector PEEK terminal guides,matched front + rear M0-following M1-static natural virgin unfilled PEEK guides from one lot; 4x M3x14/washer/short-insert clamp stacks total,2,,,RFQ_READY_FOR_QUOTE_ONLY; hash-bound paired STEP/drawing/CSV and supplier-return questions are complete; ORDER AND PRODUCTION BLOCKED pending exact resin grade/lot DFM finish inspection quote guide-key fit insert pull abrasion flexible-wire launch-matrix and hot-endurance results,out/custom/successor/step/active_sector_peek_guide_front.step and _rear.step + output/pdf/successor_custom_parts_rfq.pdf + out/custom/successor/successor_rfq.csv
structure,Active-sector aluminum yoke,rev6 one-solid keyed outboard coil-bypass carriage yoke in certified 6061-T6 with four M4x10/washer/short-insert tower stacks; no alloy/temper equivalent pre-authorized,1,,,RFQ_READY_FOR_QUOTE_ONLY; hash-bound STEP/drawing/CSV and supplier-return questions are complete; default-job rigid geometry and the complete raw rigid sweep pass; ORDER AND PRODUCTION BLOCKED pending DFM 6061-T6 certificate commitment first-article inspection quote flexible-conductor launch-matrix and physical gates,out/custom/successor/step/active_sector_aluminum_yoke.step + output/pdf/successor_custom_parts_rfq.pdf drawing M2-010 Rev B + out/custom/successor/successor_rfq.csv; collision revision active-sector-r39p2__physical-bell-root-sleeve-six-slug__L79-stock-D10-P30__short-cap-leadins__rev6-front-plane-outboard-coil-bypass-yoke
motion,Stock NBK 30T 3GT flyer pulley,P30-3GT-BLP-6C-10; D10 split clamp; 6 mm belt; supplied M2 bolt at 0.5 N m; A2017 body; 28 g; axial J 3.0e-6 kg m2,1,,,CART_READY_REFERENCE_ONLY; official NBK Japan page listed this exact MPN in stock with cart action at JPY 5060 before tax / JPY 5566 including tax on 2026-07-12; delivered USD cost and shipping are not asserted; INSTALLATION AND MOTION AUTHORIZATION BLOCKED pending delivered-bore/bolt inspection reversing slip belt-pretension shoulder six-trim balance and hot-endurance proof,official NBK product row https://www.nbk1560.com/products/pulley/timingpulley/3GT-BLP-6C/P30-3GT-BLP-6C/ + immutable vendor STEP cad/models/upgrades/NBK_P30_D10_download/P30-3GT-BLP-6C-10.stp SHA256 780110e1d59a988661f5ae80e9ebbe5d2eb324b9037d33a481809c939fa4c9f1
flyer,Six serialized ASTM-B777 balance trims,four rear annular slugs with printed three-post retainers + two front OD6/ID2.2 annular trims; all six dimensions are solved at the immutable 18.49 g/cm3 balance-design density,6,,,RFQ_READY_FOR_QUOTE_ONLY; hash-bound six-STEP/drawing/CSV and supplier-return questions are complete; preferred material baseline McMaster 5995N71/5995N72 ASTM B777 1/2in ultra-dense rod with traceable lot certificate; ORDER AND PRODUCTION BLOCKED pending supplier class/certified 18.49 g/cm3 density lot quote tolerances measured serial masses G2.5 balance pull tests and hot endurance,six individual out/custom/successor/step/balance_b777_*.step files + output/pdf/successor_custom_parts_rfq.pdf + out/custom/successor/successor_rfq.csv; any density substitution requires a new balance solve and six new STEP files; four PETG retainers are separate print jobs
wire,Default winding wire,Remington 32SNSP.125; 32 AWG single-build 155 C magnet wire; 0.22352 mm supplier nominal finished OD; 2 oz / 611 ft spool; accepted conservative measured job input 0.220-0.235 mm,1,,,Remington Industries 32SNSP.125 exact order line https://www.remingtonindustries.com/magnet-wire/magnet-wire-32-awg-enameled-copper-9-spool-sizes/; job-consumable price excluded from machine estimate,measure at no fewer than five separated locations; use the conservative maximum including instrument uncertainty; regenerate every job artifact before winding
wire,Default stator slot insulation,DuPont Nomex Type 410 5 mil; BAE Wire INNMX410005S; 24 x 36 inch sheet; 0.127 mm supplier nominal; accepted conservative measured installed job input 0.120-0.140 mm,1,,,BAE Wire exact order line https://www.baewire.com/NOMEX-TYPE-410-005-24-X-36-SHEETS-p/innmx410005s.htm,measure the formed installed liner coupon at no fewer than five locations; use the conservative maximum including instrument uncertainty; regenerate every job artifact and prove protected core edges
electronics_required_condition,Required regulated 36 V M2 supply condition,Selected Leadshine LSP-360-36; regulated 36 VDC; 10 A continuous; 18 A peak; 360 W; selectable 92-138 or 184-276 VAC input; 215x115x30 mm,1,199.00,199.00,CONDITIONAL CART CANDIDATE ONLY - Leadshine official current Add-to-Cart price verified 2026-07-11 https://www.leadshine.com/product-detail/LSP-360-36.html; no PSU is order-authorized for production until mains enclosure protection disconnect PE bonding mounting wiring thermal and back-EMF integration close,exact SKU capacity envelope and official price are pinned; set the input selector for site mains before energizing; 24 V must not be used for the selected M2 release curve
electronics_optional,Optional controller integration,board implementing M{id}A/M{id}P/ESTOP serial protocol,1,25.00,25.00,Goal1 firmware/electronics-internals scope exclusion; STM32 NUCLEO-G431KB / DigiKey 497-19489-ND is an unreleased candidate requiring level shifting isolation pinout ESTOP alarms and connectors,out of mechanical CAD scope
assembly_consumable,Fixed-eyelet and shaft-wrap-sleeve adhesive,Henkel LOCTITE EA 445 MPN 209717; ten premeasured 4 g mixer cups; clean abrade wash coat both faces assemble within 5 min immobilize and cure 72 h at 21 C,1,80.79,80.79,EIS LOC21425 exact available-to-order case https://www.eis-inc.com/product/epoxy-adhesive-loc21425,for fixed ceramic eyelets and the interphase shaft-wrap sleeve only; keep adhesive off polished wire-contact surfaces; qualify scrap PETG-to-alumina and steel-to-alumina bonds before production
assembly_consumable,Foot-stud threadlocker,LOCTITE 243 medium-strength anaerobic threadlocker; one 0.02 fl oz single-use capsule for four M5x12 studs,1,7.00,7.00,McMaster 91458A114 exact capsule; planning allowance pending cart quote,degrease and bond only the 7.2 mm standoff engagement; set 4.8 +/-0.1 mm projection; wipe excess and cure 24 h before loading
print,PETG filament,Inland PETG+ PETG+175SB1 black 1.75 mm 1 kg; planning mass TBD across 21 printed parts including the solid-infill successor arm and four balance retainers,1,13.99,13.99,Micro Center SKU 151506 exact live line https://www.microcenter.com/product/626528/inland-175mm-black-petg-3d-printer-filament-1kg-spool-%2822-lbs%29,21 parts in out/stl/ after regeneration; dry and use the same spool for the qualification coupon and production
,,,,TOTAL:,1573.78,numeric planning subtotal only; includes conditional CS-D508 and LSP-360-36 candidate prices plus the inherited BNW allowance but authorizes none of them; excludes every unpriced RFQ-ready/TBD successor custom part which remains order- and production-blocked; the unquoted SendCutSend MIC6 carriage plate; fastener delta; and any actual NBK BNW quote delta,
