sku,description,standard,required_qty,spare_qty,pack_qty,packages_to_order,order_qty,status,design_status,purchase_status,supplier,supplier_sku,checkout_condition,mapping_blocker,schedule_ids
ISO4762-M3x14,M3x14 active-sector guide screw,ISO 4762,4,0,100,1,100,selected,selected,cart_ready,McMaster-Carr,91502A106,Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.,"""""",active_sector_m3_screws
ISO4762-M3x8,M3x8 rail screw,ISO 4762,12,3,100,1,100,selected,selected,cart_ready,McMaster-Carr,91502A103,,"""""",rail_screws
ISO4762-M4x10,M4x10 yoke-to-tower screw,ISO 4762,4,0,100,1,100,selected,selected,cart_ready,McMaster-Carr,90128A212,Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.,"""""",active_sector_m4_screws
ISO4762-M4x20,M4x20 front tower screw,ISO 4762,2,2,100,1,100,selected,selected,cart_ready,McMaster-Carr,90128A216,,"""""",carriage_m4_screws
ISO4762-M4x25,M4x25 rear tower/flag screw,ISO 4762,4,2,100,1,100,selected,selected,cart_ready,McMaster-Carr,90128A217,,"""""",carriage_flag_m4_screws;nut_bracket_m4_screws
ISO4762-M5x12,M5x12 rear-post shoe screw,ISO 4762,10,4,100,1,100,selected,selected,cart_ready,McMaster-Carr,90128A236,,"""""",rear_post_shoe_screws;m0_mount_screws;endstop_pedestal_screws;m2_mount_screws
ISO4762-M5x16,M5x16 flyer-block screw,ISO 4762,4,1,100,1,100,selected,selected,cart_ready,McMaster-Carr,90128A244,,"""""",flyer_block_screws
ISO4762-M8x75,M8x75 socket-head axle bolt,ISO 4762,1,0,25,1,25,selected,selected,cart_ready,McMaster-Carr,91290A461,,"""""",spool_axle
ISO7089-M2,M2 normal washer,ISO 7089 / DIN 125-A,14,2,100,1,100,selected,selected,cart_ready,McMaster-Carr,91166A180,,"""""",endstop_switch_washers;front_trim_washers;cap_retention_washers;dancer_anchor_washers
ISO7089-M3,M3 normal washer,ISO 7089 / DIN 125-A,10,4,100,1,100,selected,selected,cart_ready,McMaster-Carr,91166A210,,"""""",t8_nut_washers;active_sector_m3_washers;dancer_stop_washers
ISO7089-M4,M4 normal washer,ISO 7089 / DIN 125-A,10,2,100,1,100,selected,selected,cart_ready,McMaster-Carr,91166A230,,"""""",carriage_m4_washers;active_sector_m4_washers
ISO7089-M8,M8 normal washer,ISO 7089 / DIN 125-A,2,2,100,1,100,selected,selected,cart_ready,McMaster-Carr,91166A270,,"""""",spool_axle_washers
LEM050AB01,Lee Spring LEM050AB 01 extension spring,Lee Spring metric instrument series,1,1,1,2,2,selected,selected,cart_ready,Lee Spring,LEM050AB 01 M,,"""""",dancer_extension_spring
MCMASTER-90265A420,OD3x16 shoulder screw,ISO 7379 / McMaster 90265A420,1,0,1,1,1,selected,selected,cart_ready,McMaster-Carr,90265A420,,"""""",dancer_pulley_shoulder
MCMASTER-94459A120,M2 standard heat-set insert,McMaster 94459A120,5,0,50,1,50,selected,selected,cart_ready,McMaster-Carr,94459A120,Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.,"""""",front_trim_inserts;flyer_guide_inserts
MCMASTER-94459A130,M3 short heat-set insert,McMaster 94459A130,8,1,50,1,50,selected,selected,cart_ready,McMaster-Carr,94459A130,,"""""",counterweight_inserts;active_sector_m3_inserts
MCMASTER-94459A140,M3 standard heat-set insert,McMaster 94459A140,2,2,50,1,50,selected,selected,cart_ready,McMaster-Carr,94459A140,,"""""",flyer_set_inserts
MCMASTER-94459A150,M4 short tower heat-set insert,McMaster 94459A150,4,0,50,1,50,selected,selected,cart_ready,McMaster-Carr,94459A150,Confirm current pack price and line-specific fulfillment for this exact SKU at checkout; cart_ready is not order or motion authorization.,"""""",active_sector_m4_inserts
MCMASTER-94459A769,M3 short heat-set stop insert,McMaster 94459A769,2,1,50,1,50,selected,selected,cart_ready,McMaster-Carr,94459A769,,"""""",dancer_stop_inserts
MCMASTER-96654A127,OD5x10 shoulder screw,McMaster 96654A127,1,0,1,1,1,selected,selected,cart_ready,McMaster-Carr,96654A127,,"""""",dancer_pivot_shoulder
MISUMI-CBSA5-10,M5x10 extra-low-head bracket screw,MISUMI CBSA5-10,30,4,1,34,34,selected,selected,cart_ready,MISUMI,CBSA5-10,,"""""",frame_bracket_screws
MISUMI-HBKTST5,2020 right-angle bracket,MISUMI 5-series slot-6,15,1,1,16,16,selected,selected,cart_ready,MISUMI,HBKTST5,,"""""",frame_brackets
MISUMI-HNTA5-3,M3 slot-6 post-assembly T-nut,MISUMI HNTA5-3,12,2,1,14,14,selected,selected,cart_ready,MISUMI,HNTA5-3,,"""""",rail_tnuts
MISUMI-HNTA5-4,M4 slot-6 pivot T-nut,MISUMI HNTA5-4,1,1,1,2,2,selected,selected,cart_ready,MISUMI,HNTA5-4,,"""""",dancer_pivot_tnut
MISUMI-HNTA5-5,M5 slot-6 post-assembly T-nut,MISUMI HNTA5-5,54,6,1,60,60,selected,selected,cart_ready,MISUMI,HNTA5-5,,"""""",frame_bracket_tnuts;rear_post_shoe_tnuts;machine_foot_tnuts;m0_mount_tnuts;endstop_pedestal_tnuts;flyer_block_tnuts;m2_mount_tnuts;m3_base_tnuts
MISUMI-HNTAJ5-5,M5 short slot-6 post-assembly T-nut,MISUMI HNTAJ5-5,4,1,1,5,5,selected,selected,cart_ready,MISUMI,HNTAJ5-5,,"""""",m0_support_tnuts;dancer_base_tnuts
SLEEVE-4-2.2-1.5,OD4xID2.2x1.5 sleeve,dimensioned steel sleeve,1,0,1,1,1,selected,selected,rfq_ready,,,,"""""",dancer_fixed_anchor_sleeve
SLEEVE-4-2.2-4,OD4xID2.2x4 sleeve,dimensioned steel sleeve,1,0,1,1,1,selected,selected,rfq_ready,,,,"""""",dancer_moving_anchor_sleeve
SLEEVE-5-3.2-4,OD5xID3.2x4 stop sleeve,dimensioned steel sleeve,2,0,1,2,2,selected,selected,rfq_ready,,,,"""""",dancer_stop_sleeves
WURTH-970180581,M5 female/female AF8x18 foot standoff,Würth 970180581 WA-SSTII,4,0,1,4,4,selected,selected,cart_ready,Farnell,2884560,,"""""",machine_foot_standoffs
